Date,Open,High,Low,Close,Volume,AdjustedClose
20211214,4150,4160,4130,4130,100110000,4130
20211215,4150,4230,4140,4200,124522800,4200
20211216,4220,4220,4120,4140,136646600,4140
20211217,4090,4140,4090,4110,153165400,4110
20211220,4070,4130,4060,4120,89198900,4120
20211221,4100,4120,4080,4080,109561800,4080
20211222,4100,4110,4050,4050,104738000,4050
20211223,4090,4110,4060,4100,72736800,4100
20211224,4100,4120,4050,4070,59795000,4070
20211227,4070,4110,4060,4060,65491200,4060
20211228,4090,4110,4070,4090,52952500,4090
20211229,4090,4100,4070,4080,27676500,4080
20211230,4080,4140,4060,4110,146989400,4110
20220103,4120,4190,4090,4180,90842500,4180
20220104,4200,4210,4160,4160,93950000,4160
20220105,4180,4230,4130,4210,174376400,4210
20220106,4240,4240,4140,4160,137280000,4160
20220107,4170,4200,4150,4190,101275000,4190
20220110,4190,4210,4180,4180,70722600,4180
20220111,4180,4180,4130,4150,99404900,4150
20220112,4170,4180,4130,4160,65907000,4160
20220113,4180,4190,4170,4190,103522400,4190
20220114,4190,4210,4160,4180,110213800,4180
20220117,4200,4210,4180,4210,102957100,4210
20220118,4240,4240,4140,4190,120275000,4190
20220119,4210,4210,4130,4130,109954700,4130
20220120,4130,4160,4110,4130,86394600,4130
20220121,4130,4170,4110,4170,84972500,4170
20220124,4140,4160,4100,4120,76709900,4120
20220125,4100,4110,4000,4070,185007800,4070
20220126,4030,4100,4030,4090,97589500,4090
20220127,4070,4140,4060,4140,80682900,4140
20220128,4170,4170,4090,4140,84812100,4140
20220131,4170,4170,4070,4070,78498500,4070
20220202,4120,4120,4060,4070,81546300,4070
20220203,4180,4180,4130,4130,157898800,4130
20220204,4170,4210,4150,4210,236602900,4210
20220207,4240,4410,4220,4400,468016600,4400
20220208,4450,4550,4400,4440,310878100,4440
20220209,4400,4500,4380,4450,149000100,4450
20220210,4500,4500,4450,4470,112521600,4470
20220211,4420,4450,4380,4450,103418200,4450
20220214,4450,4450,4380,4410,105260000,4410
20220215,4440,4450,4390,4430,96658500,4430
20220216,4470,4470,4410,4420,89636300,4420
20220217,4390,4410,4340,4400,118305100,4400
20220218,4400,4440,4370,4430,127058000,4430
20220221,4460,4490,4440,4490,133717300,4490
20220222,4440,4470,4420,4430,109060900,4430
20220223,4520,4520,4460,4480,160827800,4480
20220224,4470,4470,4370,4390,217523600,4390
20220225,4450,4550,4410,4550,301346400,4550
20220301,4850,4860,4630,4630,494657800,4630
20220302,4680,4690,4550,4560,186635200,4560
20220304,4720,4730,4610,4670,292022600,4670
20220307,4580,4630,4520,4520,224515800,4520
20220308,4500,4560,4430,4430,214870200,4430
20220309,4530,4590,4500,4570,191967100,4570
20220310,4640,4640,4510,4570,225575800,4570
20220311,4400,4440,4370,4400,275965300,4400
20220314,4440,4540,4410,4520,212052100,4520
20220315,4550,4640,4530,4610,357755700,4610
20220316,4650,4660,4610,4650,226817000,4650
20220317,4690,4700,4610,4650,224068000,4650
20220318,4700,4700,4580,4580,257863400,4580
20220321,4600,4630,4560,4590,118791900,4590
20220322,4690,4710,4640,4640,177758500,4640
20220323,4680,4690,4620,4650,146545100,4650
20220324,4640,4730,4620,4730,206271600,4730
20220325,4760,4760,4650,4710,137104800,4710
20220328,4730,4740,4670,4730,106801800,4730
20220329,4750,4750,4670,4690,93155100,4690
20220330,4740,4740,4690,4710,83364400,4710
20220331,4700,4750,4660,4660,158650000,4660
20220401,4690,4730,4630,4730,145105000,4730
20220404,4730,4730,4660,4700,103902000,4700
20220405,4730,4740,4670,4700,76154300,4700
20220406,4690,4690,4600,4600,111009800,4600
20220407,4670,4670,4620,4630,91942500,4630
20220408,4630,4650,4600,4610,125657900,4610
20220411,4600,4620,4570,4570,109861100,4570
20220412,4550,4610,4550,4610,96961200,4610
20220413,4640,4640,4590,4610,112327600,4610
